Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,1.3,Unknown,,OK,2964,ddPCR Supermix for Probes (no dUTP),,,,,,19818,1736,,,,,,21554,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
A02,Absolute Quantification,ABS,1.4,Unknown,,OK,662,ddPCR Supermix for Probes (no dUTP),,,,,,9194,12174,,,,,,21368,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
B01,Absolute Quantification,ABS,2.3,Unknown,,OK,1379,ddPCR Supermix for Probes (no dUTP),,,,,,14623,6561,,,,,,21184,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
B02,Absolute Quantification,ABS,2.4,Unknown,,OK,316,ddPCR Supermix for Probes (no dUTP),,,,,,5136,16651,,,,,,21787,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
C01,Absolute Quantification,ABS,3.3,Unknown,,OK,442,ddPCR Supermix for Probes (no dUTP),,,,,,6653,14573,,,,,,21226,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
C02,Absolute Quantification,ABS,3.4,Unknown,,OK,107,ddPCR Supermix for Probes (no dUTP),,,,,,1878,19729,,,,,,21607,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
D01,Absolute Quantification,ABS,4.3,Unknown,,OK,163,ddPCR Supermix for Probes (no dUTP),,,,,,2702,18153,,,,,,20855,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
D02,Absolute Quantification,ABS,4.4,Unknown,,OK,35.9,ddPCR Supermix for Probes (no dUTP),,,,,,660,21326,,,,,,21986,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
E01,Absolute Quantification,ABS,5.3,Unknown,,OK,99.9,ddPCR Supermix for Probes (no dUTP),,,,,,1559,17594,,,,,,19153,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
E02,Absolute Quantification,ABS,5.4,Unknown,,OK,22.4,ddPCR Supermix for Probes (no dUTP),,,,,,396,20595,,,,,,20991,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
