Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,16.3,Unknown,,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
A02,Absolute Quantification,ABS,16.4,Unknown,,OK,584,ddPCR Supermix for Probes (no dUTP),,,,,,8343,12981,,,,,,21324,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
B01,Absolute Quantification,ABS,17.3,Unknown,,OK,1246,ddPCR Supermix for Probes (no dUTP),,,,,,14542,7722,,,,,,22264,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
B02,Absolute Quantification,ABS,17.4,Unknown,,OK,278,ddPCR Supermix for Probes (no dUTP),,,,,,4861,18228,,,,,,23089,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
C01,Absolute Quantification,ABS,18.3,Unknown,,OK,376,ddPCR Supermix for Probes (no dUTP),,,,,,5760,15302,,,,,,21062,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
C02,Absolute Quantification,ABS,18.4,Unknown,,OK,87.2,ddPCR Supermix for Probes (no dUTP),,,,,,1473,19138,,,,,,20611,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
D01,Absolute Quantification,ABS,19.3,Unknown,,OK,217,ddPCR Supermix for Probes (no dUTP),,,,,,3703,18317,,,,,,22020,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
D02,Absolute Quantification,ABS,19.4,Unknown,,OK,49.8,ddPCR Supermix for Probes (no dUTP),,,,,,859,19870,,,,,,20729,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
E01,Absolute Quantification,ABS,20.3,Unknown,,OK,133,ddPCR Supermix for Probes (no dUTP),,,,,,2190,18358,,,,,,20548,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
E02,Absolute Quantification,ABS,20.4,Unknown,,OK,29.3,ddPCR Supermix for Probes (no dUTP),,,,,,532,21108,,,,,,21640,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
